date,quarter,day,department,team,no_of_workers,smv,wip,over_time,incentive,no_of_style_change,idle_time,idle_men,targeted_productivity,actual_productivity
2/1/2015,Quarter1,Sunday,finishing ,8,8,4.15,,960,0,0,0,0,0.65,1.0115625
2/1/2015,Quarter1,Sunday,sweing,2,57.5,22.52,1396,6900,113,0,0,0,0.8,1.000671304
2/1/2015,Quarter1,Sunday,sweing,1,58.5,22.94,1582,3060,113,0,0,0,0.8,1.000402055
2/1/2015,Quarter1,Sunday,finishing ,1,19,3.94,,2280,0,0,0,0,0.75,0.950438596
2/1/2015,Quarter1,Sunday,sweing,3,57,22.52,1124,6840,100,0,0,0,0.8,0.950185965
2/1/2015,Quarter1,Sunday,finishing ,2,10,3.94,,1200,0,0,0,0,0.8,0.912766667
2/1/2015,Quarter1,Sunday,finishing ,7,18,3.94,,2160,0,0,0,0,0.7,0.892194444
2/1/2015,Quarter1,Sunday,finishing ,10,10,3.94,,1200,0,0,0,0,0.8,0.8865
2/1/2015,Quarter1,Sunday,sweing,10,56,22.52,1282,6720,75,0,0,0,0.8,0.850532143
2/1/2015,Quarter1,Sunday,sweing,4,58.5,22.52,1472,7020,60,0,0,0,0.8,0.85011396
2/1/2015,Quarter1,Sunday,finishing ,4,12,4.3,,1440,0,0,0,0,0.8,0.845069444
2/1/2015,Quarter1,Sunday,sweing,9,58,29.12,1282,6960,45,0,0,0,0.75,0.750593103
2/1/2015,Quarter1,Sunday,sweing,12,35,15.26,1276,1440,45,0,0,0,0.75,0.750450658
2/1/2015,Quarter1,Sunday,finishing ,12,9,4.08,,1080,0,0,0,0,0.75,0.702666667
2/1/2015,Quarter1,Sunday,sweing,11,54,20.1,1192,6120,75,0,0,0,0.7,0.700508929
2/1/2015,Quarter1,Sunday,sweing,6,33,18.79,881,3960,26,0,0,0,0.65,0.651007071
2/1/2015,Quarter1,Sunday,sweing,8,55,24.26,1196,6600,0,0,0,0,0.6,0.466821212
2/1/2015,Quarter1,Sunday,sweing,7,56,24.26,1400,6720,0,0,0,0,0.7,0.411553571
2/1/2015,Quarter1,Sunday,finishing ,6,10,2.9,,1200,0,0,0,0,0.6,0.314166667
2/2/2015,Quarter1,Monday,sweing,1,58.5,22.94,16882,7020,113,0,0,0,0.8,1.000602279
2/2/2015,Quarter1,Monday,finishing ,9,8,3.94,,960,0,0,0,0,0.75,0.994270833
2/2/2015,Quarter1,Monday,sweing,2,58.5,22.52,21385,7020,88,0,0,0,0.8,0.900158405
2/2/2015,Quarter1,Monday,sweing,3,57,22.52,21266,6840,70,0,0,0,0.8,0.90014152
2/2/2015,Quarter1,Monday,sweing,10,56,22.52,21540,6720,88,0,0,0,0.8,0.900129762
2/2/2015,Quarter1,Monday,finishing ,10,10,3.94,,1200,0,0,0,0,0.8,0.85695
2/2/2015,Quarter1,Monday,finishing ,4,12,4.3,,1440,0,0,0,0,0.8,0.809236111
2/2/2015,Quarter1,Monday,sweing,12,35,15.26,12261,3600,63,0,0,0,0.8,0.800401961
2/2/2015,Quarter1,Monday,sweing,4,56.5,22.52,23122,5940,50,0,0,0,0.8,0.800393224
2/2/2015,Quarter1,Monday,sweing,9,58,29.12,8992,6960,55,0,0,0,0.75,0.799963218
2/2/2015,Quarter1,Monday,finishing ,12,9,4.08,,1080,0,0,0,0,0.75,0.740444444
2/2/2015,Quarter1,Monday,sweing,11,54,20.55,9792,6480,60,0,0,0,0.7,0.700398148
2/2/2015,Quarter1,Monday,sweing,6,33,18.79,2984,3960,30,0,0,0,0.7,0.700354545
2/2/2015,Quarter1,Monday,finishing ,8,8,4.15,,960,0,0,0,0,0.65,0.561979167
2/2/2015,Quarter1,Monday,finishing ,1,19,3.94,,2280,0,0,0,0,0.75,0.504596491
2/2/2015,Quarter1,Monday,sweing,5,58,30.1,839,6960,0,0,0,0,0.5,0.500801724
2/2/2015,Quarter1,Monday,sweing,7,56,24.26,2698,6720,0,0,0,0,0.7,0.295307738
2/2/2015,Quarter1,Monday,finishing ,6,10,2.9,,1200,0,0,0,0,0.6,0.280333333
2/2/2015,Quarter1,Monday,sweing,8,55,24.26,1435,6600,0,0,0,0,0.65,0.260978788
2/3/2015,Quarter1,Tuesday,finishing ,2,20,3.94,,2400,0,0,0,0,0.8,1.001416667
2/3/2015,Quarter1,Tuesday,sweing,1,57.5,22.52,1500,6900,113,0,0,0,0.8,1.000018551
2/3/2015,Quarter1,Tuesday,sweing,10,56,22.52,1188,6720,90,0,0,0,0.8,0.999995238
2/3/2015,Quarter1,Tuesday,finishing ,1,10,3.94,,1200,0,0,0,0,0.8,0.99485
2/3/2015,Quarter1,Tuesday,finishing ,8,8,4.15,,960,0,0,0,0,0.7,0.976979167
2/3/2015,Quarter1,Tuesday,sweing,3,57,22.52,1112,6840,100,0,0,0,0.8,0.950185965
2/3/2015,Quarter1,Tuesday,sweing,2,58,22.52,1452,6960,100,0,0,0,0.8,0.949981609
2/3/2015,Quarter1,Tuesday,finishing ,9,11,3.94,,1320,0,0,0,0,0.75,0.919954545
2/3/2015,Quarter1,Tuesday,sweing,4,56.5,22.52,340,5460,63,0,0,0,0.8,0.800434622
2/3/2015,Quarter1,Tuesday,sweing,12,35,15.26,1029,2040,50,0,0,0,0.8,0.800259023
2/3/2015,Quarter1,Tuesday,finishing ,12,9,4.08,,1080,0,0,0,0,0.8,0.778222222
2/3/2015,Quarter1,Tuesday,sweing,9,58,29.12,1070,6960,34,0,0,0,0.75,0.750593103
2/3/2015,Quarter1,Tuesday,sweing,11,54,25.31,946,5760,60,0,0,0,0.7,0.700513566
2/3/2015,Quarter1,Tuesday,sweing,6,33.5,18.79,913,4020,30,0,0,0,0.7,0.700184577
2/3/2015,Quarter1,Tuesday,sweing,8,55.5,24.26,1363,6660,0,0,0,0,0.7,0.586465465
2/3/2015,Quarter1,Tuesday,sweing,7,56,24.26,1639,6720,0,0,0,0,0.7,0.541517857
2/3/2015,Quarter1,Tuesday,finishing ,4,12,4.3,,1440,0,0,0,0,0.8,0.5375
2/3/2015,Quarter1,Tuesday,finishing ,6,8,2.9,,960,0,0,0,0,0.7,0.495416667
2/3/2015,Quarter1,Tuesday,sweing,5,58,30.1,415,6960,0,0,0,0,0.6,0.415172414
2/4/2015,Quarter1,Wednesday,sweing,2,57.5,22.52,1263,6900,100,0,0,0,0.8,1.05028058
2/4/2015,Quarter1,Wednesday,sweing,3,57,22.52,968,6840,113,0,0,0,0.8,1.000230409
2/4/2015,Quarter1,Wednesday,sweing,10,56,22.52,1108,6720,113,0,0,0,0.8,0.999995238
2/4/2015,Quarter1,Wednesday,finishing,2,18,3.94,,2160,0,0,0,0,0.8,0.966759259
2/4/2015,Quarter1,Wednesday,finishing,1,10,3.94,,1200,0,0,0,0,0.8,0.929183333
2/4/2015,Quarter1,Wednesday,finishing,8,25,4.15,,3000,0,0,0,0,0.7,0.915766667
2/4/2015,Quarter1,Wednesday,sweing,1,57.5,22.52,1532,6900,88,0,0,0,0.8,0.900147246
2/4/2015,Quarter1,Wednesday,sweing,12,34,15.26,1094,4080,38,0,0,0,0.8,0.800401961
2/4/2015,Quarter1,Wednesday,sweing,9,58,22.52,1086,6960,50,0,0,0,0.8,0.799963218
2/4/2015,Quarter1,Wednesday,finishing,7,8,3.94,,960,0,0,0,0,0.7,0.779791667
2/4/2015,Quarter1,Wednesday,finishing,9,8,3.94,,960,0,0,0,0,0.75,0.755166667
2/4/2015,Quarter1,Wednesday,sweing,6,33,18.79,941,3360,30,0,0,0,0.7,0.700710417
2/4/2015,Quarter1,Wednesday,sweing,7,58,24.26,1471,6960,0,0,0,0,0.7,0.700612069
2/4/2015,Quarter1,Wednesday,sweing,11,53,10.05,1042,6120,60,0,0,0,0.7,0.700278846
2/4/2015,Quarter1,Wednesday,sweing,8,57,29.12,1248,6840,0,0,0,0,0.7,0.700135088
2/4/2015,Quarter1,Wednesday,finishing ,12,9,4.08,,1080,0,0,0,0,0.8,0.687555556
2/4/2015,Quarter1,Wednesday,sweing,5,58.5,30.1,326,5820,0,0,90,10,0.65,0.650834808
2/4/2015,Quarter1,Wednesday,finishing,6,8,2.9,,960,0,0,0,0,0.7,0.531666667
2/4/2015,Quarter1,Wednesday,sweing,4,55.5,30.1,287,6060,23,0,150,15,0.35,0.350706422
2/5/2015,Quarter1,Thursday,sweing,2,56.5,22.52,1300,6780,113,0,0,0,0.8,1.000446018
2/5/2015,Quarter1,Thursday,sweing,1,57.5,22.52,1485,6900,113,0,0,0,0.8,1.000018551
2/5/2015,Quarter1,Thursday,sweing,10,56,22.52,1039,6720,113,0,0,0,0.8,0.999995238
2/5/2015,Quarter1,Thursday,finishing,2,22,3.94,,2640,0,0,0,0,0.8,0.999924242
2/5/2015,Quarter1,Thursday,sweing,3,57,22.52,1063,6840,100,0,0,0,0.8,0.950185965
2/5/2015,Quarter1,Thursday,finishing,6,8,2.9,,960,0,0,0,0,0.7,0.9425
2/5/2015,Quarter1,Thursday,finishing,12,9,4.08,,1080,0,0,0,0,0.8,0.906666667
2/5/2015,Quarter1,Thursday,finishing,7,10,3.94,,1200,0,0,0,0,0.7,0.8471
2/5/2015,Quarter1,Thursday,finishing,1,12,3.94,,1440,0,0,0,0,0.8,0.845458333
2/5/2015,Quarter1,Thursday,sweing,12,34,15.26,1083,720,38,0,0,0,0.8,0.800612676
2/5/2015,Quarter1,Thursday,sweing,9,58,29.12,1069,6960,50,0,0,0,0.8,0.799963218
2/5/2015,Quarter1,Thursday,finishing,10,8,3.94,,960,0,0,0,0,0.8,0.771583333
2/5/2015,Quarter1,Thursday,sweing,11,26,10.05,668,2520,34,0,0,0,0.75,0.7504
2/5/2015,Quarter1,Thursday,sweing,6,33,18.79,766,2760,30,0,0,0,0.7,0.700079032
2/5/2015,Quarter1,Thursday,sweing,5,58,30.1,557,6960,0,0,0,0,0.7,0.562212644
2/5/2015,Quarter1,Thursday,sweing,7,58,24.26,1608,6960,0,0,0,0,0.07,0.522844828
2/5/2015,Quarter1,Thursday,sweing,4,53,30.1,417,6360,23,1,0,0,0.5,0.500720126
2/5/2015,Quarter1,Thursday,sweing,8,57,24.26,1167,6840,0,0,0,0,0.7,0.496549708
2/7/2015,Quarter1,Saturday,finishing,2,25,3.94,,3000,0,0,0,0,0.8,1.050666667
2/7/2015,Quarter1,Saturday,sweing,2,58,22.52,1186,6900,113,0,0,0,0.8,1.000018551
2/7/2015,Quarter1,Saturday,sweing,3,57,22.52,1060,6840,100,0,0,0,0.8,0.950185965
2/7/2015,Quarter1,Saturday,sweing,1,57,22.52,1534,6780,88,0,0,0,0.8,0.900135693
2/7/2015,Quarter1,Saturday,sweing,10,56,22.52,1142,6720,88,0,0,0,0.8,0.900129762
2/7/2015,Quarter1,Saturday,finishing,12,9,4.08,,1080,0,0,0,0,0.8,0.899111111
2/7/2015,Quarter1,Saturday,finishing,1,10,3.94,,1200,0,0,0,0,0.8,0.870083333
2/7/2015,Quarter1,Saturday,finishing,6,8,2.9,,960,0,0,0,0,0.75,0.845833333
2/7/2015,Quarter1,Saturday,sweing,12,34,15.26,1021,4080,63,0,0,0,0.8,0.800401961
2/7/2015,Quarter1,Saturday,sweing,9,58,29.12,829,6960,50,0,0,0,0.8,0.799963218
2/7/2015,Quarter1,Saturday,finishing,9,8,3.94,,960,0,0,0,0,0.8,0.771583333
2/7/2015,Quarter1,Saturday,sweing,6,33,18.79,813,1560,34,0,0,0,0.75,0.750520115
2/7/2015,Quarter1,Saturday,sweing,11,27,10.05,677,3240,45,0,0,0,0.75,0.750027778
2/7/2015,Quarter1,Saturday,finishing,7,10,3.94,,1200,0,0,0,0,0.7,0.715766667
2/7/2015,Quarter1,Saturday,sweing,7,58,24.26,658,6960,0,0,270,45,0.7,0.662270115
2/7/2015,Quarter1,Saturday,sweing,4,57,30.1,486,6780,30,1,0,0,0.6,0.600224189
2/7/2015,Quarter1,Saturday,sweing,5,59,30.1,687,7500,0,0,0,0,0.7,0.545657673
2/7/2015,Quarter1,Saturday,finishing,4,8,4.3,,960,0,0,0,0,0.8,0.447916667
2/7/2015,Quarter1,Saturday,sweing,8,57,24.26,652,6840,0,0,300,37,0.7,0.365318713
2/8/2015,Quarter2,Sunday,sweing,2,57.5,22.52,1233,6900,113,0,0,0,0.8,1.000018551
2/8/2015,Quarter2,Sunday,finishing,7,12,4.15,,1440,0,0,0,0,0.7,0.928680556
2/8/2015,Quarter2,Sunday,sweing,10,56,22.52,1388,6720,88,0,0,0,0.8,0.9008
2/8/2015,Quarter2,Sunday,sweing,1,56.5,22.52,1615,6780,88,0,0,0,0.8,0.900135693
2/8/2015,Quarter2,Sunday,sweing,3,56,22.52,1283,6720,88,0,0,0,0.8,0.900129762
2/8/2015,Quarter2,Sunday,finishing,1,10,3.94,,1200,0,0,0,0,0.8,0.893066667
2/8/2015,Quarter2,Sunday,finishing,12,9,4.08,,1080,0,0,0,0,0.8,0.891555556
2/8/2015,Quarter2,Sunday,finishing,2,18,3.94,,2160,0,0,0,0,0.8,0.875555556
2/8/2015,Quarter2,Sunday,finishing,8,15,4.15,,1800,0,0,0,0,0.7,0.840888889
2/8/2015,Quarter2,Sunday,sweing,12,34,15.26,1026,2880,63,0,0,0,0.8,0.800355208
2/8/2015,Quarter2,Sunday,sweing,9,58,29.12,909,6960,50,0,0,0,0.8,0.799963218
2/8/2015,Quarter2,Sunday,sweing,6,33,18.79,670,3960,34,0,0,0,0.75,0.75065101
2/8/2015,Quarter2,Sunday,sweing,11,27,10.05,629,3240,45,0,0,0,0.75,0.750027778
2/8/2015,Quarter2,Sunday,sweing,5,58.5,30.1,754,7020,0,0,0,0,0.7,0.700618234
2/8/2015,Quarter2,Sunday,finishing,6,8,2.9,,960,0,0,0,0,0.75,0.610208333
2/8/2015,Quarter2,Sunday,finishing,9,8,3.94,,960,0,0,0,0,0.8,0.607416667
2/8/2015,Quarter2,Sunday,sweing,4,56.5,30.1,712,6780,44,1,0,0,0.65,0.568259587
2/8/2015,Quarter2,Sunday,sweing,7,58,24.26,148,6960,0,0,0,0,0.7,0.355534483
2/8/2015,Quarter2,Sunday,sweing,8,57,24.26,154,6840,0,0,0,0,0.7,0.353259649
2/9/2015,Quarter2,Monday,finishing,2,18,3.94,,2160,0,0,0,0,0.8,1.057962963
2/9/2015,Quarter2,Monday,finishing,1,10,3.94,,1200,0,0,0,0,0.8,0.962016667
2/9/2015,Quarter2,Monday,sweing,10,56,22.52,1127,120,88,0,0,0,0.8,0.9008
2/9/2015,Quarter2,Monday,sweing,1,57,22.52,1506,3600,70,0,0,0,0.8,0.900509044
2/9/2015,Quarter2,Monday,sweing,2,57,22.52,1413,360,70,0,0,0,0.8,0.900477825
2/9/2015,Quarter2,Monday,finishing,6,8,2.9,,960,0,0,0,0,0.75,0.888125
2/9/2015,Quarter2,Monday,sweing,12,34,15.26,970,4080,63,0,0,0,0.8,0.800401961
2/9/2015,Quarter2,Monday,sweing,3,57,22.52,1271,5400,50,0,0,0,0.8,0.800161172
2/9/2015,Quarter2,Monday,sweing,9,58,29.12,1073,6960,50,0,0,0,0.8,0.799963218
2/9/2015,Quarter2,Monday,sweing,4,57,30.1,767,3300,50,1,0,0,0.7,0.790003236
2/9/2015,Quarter2,Monday,sweing,11,54,10.05,103,0,45,0,0,0,0.75,0.750648148
2/9/2015,Quarter2,Monday,finishing,8,15,4.15,,1800,0,0,0,0,0.35,0.707111111
2/9/2015,Quarter2,Monday,sweing,5,58,30.1,773,7020,40,0,0,0,0.7,0.700618234
