date,quarter,day,department,team,no_of_workers,smv,wip,over_time,incentive,no_of_style_change,idle_time,idle_men,targeted_productivity,actual_productivity
1/1/2015,Quarter1,Thursday,sweing,8,59,26.16,1108,7080,98,0,0,0,0.8,0.940725424
1/1/2015,Quarter1,Thursday,finishing ,1,8,3.94,,960,0,0,0,0,0.75,0.8865
1/1/2015,Quarter1,Thursday,sweing,11,30.5,11.41,968,3660,50,0,0,0,0.8,0.800570492
1/1/2015,Quarter1,Thursday,sweing,12,30.5,11.41,968,3660,50,0,0,0,0.8,0.800570492
1/1/2015,Quarter1,Thursday,sweing,6,56,25.9,1170,1920,50,0,0,0,0.8,0.800381944
1/1/2015,Quarter1,Thursday,sweing,7,56,25.9,984,6720,38,0,0,0,0.8,0.800125
1/1/2015,Quarter1,Thursday,finishing ,2,8,3.94,,960,0,0,0,0,0.75,0.755166667
1/1/2015,Quarter1,Thursday,sweing,3,57.5,28.08,795,6900,45,0,0,0,0.75,0.753683478
1/1/2015,Quarter1,Thursday,sweing,2,55,19.87,733,6000,34,0,0,0,0.75,0.753097531
1/1/2015,Quarter1,Thursday,sweing,1,57.5,28.08,681,6900,45,0,0,0,0.75,0.750427826
1/1/2015,Quarter1,Thursday,sweing,9,57.5,28.08,872,6900,44,0,0,0,0.7,0.721126957
1/1/2015,Quarter1,Thursday,sweing,10,54,19.31,578,6480,45,0,0,0,0.75,0.712205247
1/1/2015,Quarter1,Thursday,sweing,5,30.5,11.41,668,3660,50,0,0,0,0.8,0.707045902
1/1/2015,Quarter1,Thursday,finishing ,10,8,3.94,,960,0,0,0,0,0.65,0.705916667
1/1/2015,Quarter1,Thursday,finishing ,8,8,2.9,,960,0,0,0,0,0.75,0.676666667
1/1/2015,Quarter1,Thursday,finishing ,4,18,3.94,,2160,0,0,0,0,0.75,0.593055556
1/1/2015,Quarter1,Thursday,finishing ,7,8,2.9,,960,0,0,0,0,0.8,0.540729167
1/1/2015,Quarter1,Thursday,sweing,4,60,23.69,861,7200,0,0,0,0,0.65,0.52118
1/1/2015,Quarter1,Thursday,finishing,11,12,4.15,,1440,0,0,0,0,0.7,0.436326389
1/3/2015,Quarter1,Saturday,finishing ,4,20,4.15,,6600,0,0,0,0,0.8,0.988024691
1/3/2015,Quarter1,Saturday,finishing ,11,17,2.9,,5640,0,0,0,0,0.75,0.987880435
1/3/2015,Quarter1,Saturday,finishing ,9,8,4.15,,960,0,0,0,0,0.8,0.956270833
1/3/2015,Quarter1,Saturday,finishing ,3,8,3.94,,1560,0,0,0,0,0.75,0.945277778
1/3/2015,Quarter1,Saturday,finishing ,1,8,3.94,,960,0,0,0,0,0.8,0.902916667
1/3/2015,Quarter1,Saturday,sweing,1,56.5,28.08,772,6300,50,0,0,0,0.8,0.800725314
1/3/2015,Quarter1,Saturday,sweing,3,54.5,28.08,913,6540,50,0,0,0,0.8,0.800322936
1/3/2015,Quarter1,Saturday,sweing,8,59,26.16,1261,7080,50,0,0,0,0.8,0.800318644
1/3/2015,Quarter1,Saturday,sweing,12,59,26.16,844,7080,63,0,0,0,0.8,0.800318644
1/3/2015,Quarter1,Saturday,sweing,11,29.5,11.61,1005,7080,50,0,0,0,0.8,0.800237288
1/3/2015,Quarter1,Saturday,sweing,5,31.5,11.61,659,7080,50,0,0,0,0.8,0.800148649
1/3/2015,Quarter1,Saturday,sweing,6,56,25.9,1152,6720,50,0,0,0,0.8,0.800125
1/3/2015,Quarter1,Saturday,sweing,7,56,25.9,1138,6720,38,0,0,0,0.8,0.800125
1/3/2015,Quarter1,Saturday,sweing,10,54,19.31,610,6480,56,0,0,0,0.75,0.787299691
1/3/2015,Quarter1,Saturday,finishing ,2,8,4.15,,960,0,0,0,0,0.8,0.782447917
1/3/2015,Quarter1,Saturday,sweing,2,55,19.87,944,6600,45,0,0,0,0.75,0.75024303
1/3/2015,Quarter1,Saturday,finishing ,10,8,4.15,,960,0,0,0,0,0.7,0.7018125
1/3/2015,Quarter1,Saturday,sweing,4,60,23.69,544,13800,0,0,0,0,0.7,0.700134038
1/3/2015,Quarter1,Saturday,sweing,9,57.5,28.08,1072,6900,40,0,0,0,0.7,0.699965217
1/3/2015,Quarter1,Saturday,finishing ,8,8,2.9,,960,0,0,0,0,0.8,0.628333333
1/3/2015,Quarter1,Saturday,finishing ,7,8,3.94,,960,0,0,0,0,0.8,0.6253125
1/4/2015,Quarter1,Sunday,finishing ,3,8,4.15,,1560,0,0,0,0,0.75,0.991388889
1/4/2015,Quarter1,Sunday,finishing ,9,8,3.94,,960,0,0,0,0,0.8,0.931645833
1/4/2015,Quarter1,Sunday,finishing ,1,8,3.94,,960,0,0,0,0,0.8,0.915229167
1/4/2015,Quarter1,Sunday,sweing,6,31,11.61,539,6975,50,0,0,0,0.8,0.879714482
1/4/2015,Quarter1,Sunday,finishing ,4,20,3.94,,6600,0,0,0,0,0.8,0.861679012
1/4/2015,Quarter1,Sunday,sweing,9,59,26.16,1278,7080,60,0,0,0,0.8,0.850569492
1/4/2015,Quarter1,Sunday,sweing,7,56.5,25.9,1227,7020,60,0,0,0,0.8,0.850436438
1/4/2015,Quarter1,Sunday,sweing,8,56.5,25.9,1039,6780,45,0,0,0,0.8,0.850345133
1/4/2015,Quarter1,Sunday,sweing,4,55.5,28.08,878,4260,50,0,0,0,0.8,0.800598058
1/4/2015,Quarter1,Sunday,sweing,1,59,26.16,1033,7080,63,0,0,0,0.8,0.800318644
1/4/2015,Quarter1,Sunday,sweing,2,55.5,28.08,782,6660,50,0,0,0,0.8,0.800237838
