age,job_type,marital_status,education,has_credit_in_default,housing_loan,personal_loan,communication_type,last_contact_month,last_contact_day_of_week,last_contact_duration_secs,previous_campaign_outcome,previous_campaign_num_contacts,current_campaign_num_contacts,current_campaign_subscribed
56,housemaid,married,basic.4y,no,no,no,telephone,may,mon,261,nonexistent,0,1,no
57,services,married,high.school,unknown,no,no,telephone,may,mon,149,nonexistent,0,1,no
37,services,married,high.school,no,yes,no,telephone,may,mon,226,nonexistent,0,1,no
40,admin.,married,basic.6y,no,no,no,telephone,may,mon,151,nonexistent,0,1,no
56,services,married,high.school,no,no,yes,telephone,may,mon,307,nonexistent,0,1,no
45,services,married,basic.9y,unknown,no,no,telephone,may,mon,198,nonexistent,0,1,no
59,admin.,married,professional.course,no,no,no,telephone,may,mon,139,nonexistent,0,1,no
41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,217,nonexistent,0,1,no
24,technician,single,professional.course,no,yes,no,telephone,may,mon,380,nonexistent,0,1,no
25,services,single,high.school,no,yes,no,telephone,may,mon,50,nonexistent,0,1,no
41,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,55,nonexistent,0,1,no
25,services,single,high.school,no,yes,no,telephone,may,mon,222,nonexistent,0,1,no
29,blue-collar,single,high.school,no,no,yes,telephone,may,mon,137,nonexistent,0,1,no
57,housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,293,nonexistent,0,1,no
35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,146,nonexistent,0,1,no
54,retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,174,nonexistent,0,1,no
35,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,312,nonexistent,0,1,no
46,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,440,nonexistent,0,1,no
50,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,353,nonexistent,0,1,no
39,management,single,basic.9y,unknown,no,no,telephone,may,mon,195,nonexistent,0,1,no
30,unemployed,married,high.school,no,no,no,telephone,may,mon,38,nonexistent,0,1,no
55,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,262,nonexistent,0,1,no
55,retired,single,high.school,no,yes,no,telephone,may,mon,342,nonexistent,0,1,no
41,technician,single,high.school,no,yes,no,telephone,may,mon,181,nonexistent,0,1,no
37,admin.,married,high.school,no,yes,no,telephone,may,mon,172,nonexistent,0,1,no
35,technician,married,university.degree,no,no,yes,telephone,may,mon,99,nonexistent,0,1,no
59,technician,married,unknown,no,yes,no,telephone,may,mon,93,nonexistent,0,1,no
39,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,233,nonexistent,0,1,no
54,technician,single,university.degree,unknown,no,no,telephone,may,mon,255,nonexistent,0,2,no
55,unknown,married,university.degree,unknown,unknown,unknown,telephone,may,mon,362,nonexistent,0,1,no
46,admin.,married,unknown,no,no,no,telephone,may,mon,348,nonexistent,0,1,no
59,technician,married,unknown,no,yes,no,telephone,may,mon,386,nonexistent,0,1,no
49,blue-collar,married,unknown,no,no,no,telephone,may,mon,73,nonexistent,0,1,no
54,management,married,basic.4y,unknown,yes,no,telephone,may,mon,230,nonexistent,0,1,no
54,blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,208,nonexistent,0,1,no
55,unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,336,nonexistent,0,1,no
34,services,married,high.school,no,no,no,telephone,may,mon,365,nonexistent,0,1,no
52,technician,married,basic.9y,no,yes,no,telephone,may,mon,1666,nonexistent,0,1,no
41,admin.,married,university.degree,no,yes,no,telephone,may,mon,577,nonexistent,0,1,no
56,technician,married,basic.4y,no,yes,no,telephone,may,mon,137,nonexistent,0,1,no
58,management,unknown,university.degree,no,yes,no,telephone,may,mon,366,nonexistent,0,1,no
32,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,314,nonexistent,0,1,no
38,admin.,single,professional.course,no,no,no,telephone,may,mon,160,nonexistent,0,1,no
57,admin.,married,university.degree,no,no,yes,telephone,may,mon,212,nonexistent,0,1,no
44,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,188,nonexistent,0,1,no
42,technician,single,professional.course,unknown,no,no,telephone,may,mon,22,nonexistent,0,1,no
57,admin.,married,university.degree,no,yes,yes,telephone,may,mon,616,nonexistent,0,1,no
40,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,178,nonexistent,0,1,no
