customer_id,churn,gender,senior_citizen,married,dependents,tenure,phone_service,multiple_lines,internet_service,security,backup,paperless_billing,contract,payment,monthly_charges,total_charges
0013-SMEOE,No,Female,Yes,Yes,No,71,Yes,No,Fiber,Yes,Yes,Yes,Biannually,Bank transfer (auto),109.7,7904.25
0019-EFAEP,No,Female,No,No,No,72,Yes,Yes,Fiber,Yes,Yes,Yes,Biannually,Bank transfer (auto),101.3,7261.25
0019-GFNTW,No,Female,No,No,No,56,No,No phone,DSL,Yes,Yes,No,Biannually,Bank transfer (auto),45.05,2560.1
0032-PGELS,Yes,Female,No,Yes,Yes,1,No,No phone,DSL,Yes,No,No,Monthly,Bank transfer (auto),30.5,30.5
0036-IHMOT,No,Female,No,Yes,Yes,55,Yes,No,Fiber,No,Yes,Yes,Annually,Bank transfer (auto),103.7,5656.75
0042-JVWOJ,No,Male,No,No,No,26,Yes,No,No,No internet,No internet,Yes,Annually,Bank transfer (auto),19.6,471.85
0042-RLHYP,No,Female,No,Yes,Yes,69,Yes,No,No,No internet,No internet,No,Biannually,Bank transfer (auto),19.7,1396.9
0048-PIHNL,No,Female,No,Yes,No,49,Yes,No,No,No internet,No internet,No,Annually,Bank transfer (auto),20.45,900.9
0052-DCKON,No,Male,No,Yes,No,66,Yes,Yes,Fiber,Yes,Yes,No,Annually,Bank transfer (auto),115.8,7942.15
0058-EVZWM,No,Female,No,Yes,No,55,Yes,Yes,Fiber,Yes,No,Yes,Monthly,Bank transfer (auto),89.8,4959.6
0064-SUDOG,No,Female,No,Yes,Yes,12,Yes,No,No,No internet,No internet,No,Biannually,Bank transfer (auto),20.3,224.5
0064-YIJGF,No,Male,No,Yes,Yes,27,Yes,Yes,Fiber,No,No,Yes,Monthly,Bank transfer (auto),75.75,1929
0074-HDKDG,No,Male,No,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,Annually,Bank transfer (auto),61.6,1611
0078-XZMHT,No,Male,No,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Biannually,Bank transfer (auto),85.15,6316.2
0103-CSITQ,No,Female,No,Yes,No,57,Yes,Yes,Fiber,No,Yes,Yes,Annually,Bank transfer (auto),109.4,6252.7
0106-GHRQR,No,Male,No,No,No,16,Yes,Yes,DSL,No,Yes,Yes,Monthly,Bank transfer (auto),71.4,1212.1
0112-QAWRZ,No,Male,No,Yes,Yes,16,Yes,Yes,Fiber,No,No,Yes,Monthly,Bank transfer (auto),90.8,1442.2
0114-IGABW,No,Female,No,Yes,No,71,No,No phone,DSL,No,Yes,No,Biannually,Bank transfer (auto),58.25,4145.9
0114-RSRRW,No,Female,No,Yes,No,10,Yes,No,No,No internet,No internet,Yes,Monthly,Bank transfer (auto),19.95,187.75
0117-LFRMW,Yes,Male,No,Yes,Yes,37,No,No phone,DSL,Yes,Yes,No,Monthly,Bank transfer (auto),40.2,1448.8
0129-QMPDR,No,Male,No,Yes,Yes,44,Yes,No,No,No internet,No internet,Yes,Annually,Bank transfer (auto),20.5,865.05
0134-XWXCE,No,Female,Yes,No,No,44,Yes,No,DSL,No,No,No,Annually,Bank transfer (auto),74.85,3268.05
0135-NMXAP,Yes,Female,No,No,No,12,Yes,Yes,Fiber,No,Yes,Yes,Monthly,Bank transfer (auto),89.75,1052.4
